sample name	Illumina reads	Pacbio reads
N0004	ERR2704675,ERR2704696,ERR2704697	ERR964408,ERR964415
N0031	ERR2704676	ERR956960,ERR964406
N0052	ERR2704677,ERR2704698,ERR2704699	ERR956959,ERR964405
N0054	ERR2704678	ERR964410,ERR964417
N0072	ERR2704680	ERR956956,ERR964402
N0091	ERR2704681	ERR964422,ERR968288
N0136	ERR2704682,ERR2704700	ERR964412,ERR964419
N0145	ERR2704683,ERR2704701,ERR2704702	ERR956958,ERR964404
N0153	ERR3183990	ERR956957,ERR964403
N0155	ERR2704684,ERR2704703	ERR964407,ERR964414
N0157	ERR2704685,ERR2704704	ERR956955,ERR964401
N1176	ERR2704686	ERR1025289,ERR1036243
N1177	ERR3183991	ERR987691,ERR999930
N1202	ERR2704688	ERR968284,ERR968289
N1216	ERR2704689,ERR2704705	ERR964411,ERR964418
N1272	ERR2704691,ERR2704692,ERR2704707,ERR2704708	ERR964421,ERR968287
N1283	ERR2704694,ERR2704709	ERR964413,ERR968285
