N0004	L3	PRJEB27802	ERR2704675	Illumina_DNA
N0004	L3	PRJEB27802	ERR2704698	Illumina_DNA
N0031	L2	PRJEB27802	ERR2704676	Illumina_DNA
N0052	L2	PRJEB27802	ERR2704677	Illumina_DNA
N0052	L2	PRJEB27802	ERR2704698	Illumina_DNA
N0052	L2	PRJEB27802	ERR2704699	Illumina_DNA
N0054	L3	PRJEB27802	ERR2704678	Illumina_DNA
N0072	L1	PRJEB27802	ERR2704680	Illumina_DNA
N0091	L6	PRJEB27802	ERR2704681	Illumina_DNA
N0136	L4	PRJEB27802	ERR2704682	Illumina_DNA
N0136	L4	PRJEB27802	ERR2704700	Illumina_DNA
N0145	L2	PRJEB27802	ERR2704683	Illumina_DNA
N0145	L2	PRJEB27802	ERR2704701	Illumina_DNA
N0145	L2	PRJEB27802	ERR2704702	Illumina_DNA
N0153	L1	PRJEB31443	ERR3183990	Illumina_DNA
N0155	L2	PRJEB27802	ERR2704684	Illumina_DNA
N0155	L2	PRJEB27802	ERR2704703	Illumina_DNA
N0157	L1	PRJEB27802	ERR2704685	Illumina_DNA
N0157	L1	PRJEB27802	ERR2704704	Illumina_DNA
N1063	L5	PRJEB31443	ERR3183992	Illumina_DNA
N1176	L5	PRJEB27802	ERR2704686	Illumina_DNA
N1177	L6	PRJEB31443	ERR3183991	Illumina_DNA
N1202	L6	PRJEB27802	ERR2704688	Illumina_DNA
N1216	L4	PRJEB27802	ERR2704689	Illumina_DNA
N1216	L4	PRJEB27802	ERR2704705	Illumina_DNA
N1272	L5	PRJEB27802	ERR2704691	Illumina_DNA
N1272	L5	PRJEB27802	ERR2704692	Illumina_DNA
N1272	L5	PRJEB27802	ERR2704707	Illumina_DNA
N1272	L5	PRJEB27802	ERR2704708	Illumina_DNA
N1274	L3	PRJEB27802	ERR2704693	Illumina_DNA
N1283	L4	PRJEB27802	ERR2704694	Illumina_DNA
N1283	L4	PRJEB27802	ERR2704709	Illumina_DNA
